s,A(s)/h (GHz),B(s)/h (GHz),C (normalized)
0.805,0.0040369,7.5228520,0.7291370
0.806,0.0039283,7.5397910,0.7302515
0.807,0.0038197,7.5567490,0.7313660
0.808,0.0037111,7.5737260,0.7324805
0.809,0.0036062,7.5907220,0.7335987
0.810,0.0035078,7.6077370,0.7347236
0.811,0.0034143,7.6247720,0.7358536
0.812,0.0033209,7.6418250,0.7369835
0.813,0.0032275,7.6588970,0.7381135
0.814,0.0031340,7.6759880,0.7392434
0.815,0.0030459,7.6930990,0.7403793
0.816,0.0029627,7.7102280,0.7415208
0.817,0.0028811,7.7273760,0.7426639
0.818,0.0027994,7.7445440,0.7438070
0.819,0.0027177,7.7617300,0.7449501
0.820,0.0026376,7.7789360,0.7460953
0.821,0.0025623,7.7961610,0.7472468
0.822,0.0024912,7.8134040,0.7484038
0.823,0.0024201,7.8306670,0.7495608
0.824,0.0023491,7.8479490,0.7507178
0.825,0.0022780,7.8652500,0.7518749
0.826,0.0022109,7.8825700,0.7530381
0.827,0.0021487,7.8999090,0.7542086
0.828,0.0020878,7.9172670,0.7553813
0.829,0.0020270,7.9346440,0.7565540
0.830,0.0019662,7.9520400,0.7577267
0.831,0.0019070,7.9694550,0.7589020
0.832,0.0018515,7.9868890,0.7600834
0.833,0.0017984,8.0043420,0.7612688
0.834,0.0017452,8.0218140,0.7624541
0.835,0.0016921,8.0393060,0.7636395
0.836,0.0016391,8.0568160,0.7648251
0.837,0.0015897,8.0743460,0.7660178
0.838,0.0015437,8.0918940,0.7672173
0.839,0.0014978,8.1094620,0.7684168
0.840,0.0014519,8.1270480,0.7696164
0.841,0.0014060,8.1446540,0.7708159
0.842,0.0013625,8.1622780,0.7720211
0.843,0.0013224,8.1799220,0.7732342
0.844,0.0012835,8.1975850,0.7744498
0.845,0.0012445,8.2152670,0.7756654
0.846,0.0012055,8.2329680,0.7768810
0.847,0.0011679,8.2506870,0.7780999
0.848,0.0011326,8.2684260,0.7793248
0.849,0.0010985,8.2861840,0.7805527
0.850,0.0010644,8.3039610,0.7817806
0.851,0.0010303,8.3217580,0.7830085
0.852,0.0009971,8.3395730,0.7842392
0.853,0.0009664,8.3574070,0.7854773
0.854,0.0009372,8.3752600,0.7867197
0.855,0.0009080,8.3931330,0.7879622
0.856,0.0008788,8.4110240,0.7892046
0.857,0.0008500,8.4289340,0.7904485
0.858,0.0008229,8.4468640,0.7916985
0.859,0.0007975,8.4648120,0.7929539
0.860,0.0007720,8.4827800,0.7942093
0.861,0.0007465,8.5007660,0.7954648
0.862,0.0007214,8.5187720,0.7967215
0.863,0.0006981,8.5367970,0.7979858
0.864,0.0006763,8.5548400,0.7992554
0.865,0.0006545,8.5729030,0.8005250
0.866,0.0006327,8.5909850,0.8017947
0.867,0.0006111,8.6090860,0.8030656
0.868,0.0005912,8.6272060,0.8043442
0.869,0.0005726,8.6453450,0.8056286
0.870,0.0005540,8.6635030,0.8069130
0.871,0.0005354,8.6816800,0.8081974
0.872,0.0005171,8.6998760,0.8094835
0.873,0.0005004,8.7180910,0.8107779
0.874,0.0004847,8.7363250,0.8120777
0.875,0.0004689,8.7545790,0.8133775
0.876,0.0004532,8.7728510,0.8146774
0.877,0.0004378,8.7911420,0.8159790
0.878,0.0004233,8.8094530,0.8172862
0.879,0.0004093,8.8277820,0.8185966
0.880,0.0003953,8.8461310,0.8199070
0.881,0.0003813,8.8644980,0.8212174
0.882,0.0003679,8.8828850,0.8225321
0.883,0.0003557,8.9012910,0.8238554
0.884,0.0003440,8.9197150,0.8251818
0.885,0.0003323,8.9381590,0.8265083
0.886,0.0003206,8.9566220,0.8278347
0.887,0.0003094,8.9751040,0.8291659
0.888,0.0002992,8.9936050,0.8305052
0.889,0.0002892,9.0121250,0.8318460
0.890,0.0002792,9.0306640,0.8331868
0.891,0.0002692,9.0492220,0.8345276
0.892,0.0002598,9.0677990,0.8358744
0.893,0.0002510,9.0863950,0.8372266
0.894,0.0002422,9.1050100,0.8385788
0.895,0.0002334,9.1236450,0.8399310
0.896,0.0002248,9.1422980,0.8412856
0.897,0.0002170,9.1609700,0.8426491
0.898,0.0002096,9.1796620,0.8440171
0.899,0.0002022,9.1983720,0.8453851
0.900,0.0001949,9.2171020,0.8467531
0.901,0.0001878,9.2358500,0.8481252
0.902,0.0001813,9.2546180,0.8495054
0.903,0.0001750,9.2734040,0.8508874
0.904,0.0001687,9.2922100,0.8522694
0.905,0.0001624,9.3110350,0.8536517
0.906,0.0001566,9.3298790,0.8550416
0.907,0.0001512,9.3487410,0.8564372
0.908,0.0001458,9.3676230,0.8578328
0.909,0.0001404,9.3865240,0.8592284
0.910,0.0001351,9.4054440,0.8606273
0.911,0.0001303,9.4243830,0.8620331
0.912,0.0001256,9.4433410,0.8634410
0.913,0.0001209,9.4623190,0.8648488
0.914,0.0001162,9.4813150,0.8662567
0.915,0.0001119,9.5003300,0.8676724
0.916,0.0001079,9.5193640,0.8690944
0.917,0.0001039,9.5384180,0.8705164
0.918,0.0000999,9.5574900,0.8719385
0.919,0.0000961,9.5765810,0.8733640
0.920,0.0000926,9.5956920,0.8747980
0.921,0.0000891,9.6148210,0.8762344
0.922,0.0000857,9.6339700,0.8776707
0.923,0.0000824,9.6531380,0.8791077
0.924,0.0000793,9.6723240,0.8805535
0.925,0.0000764,9.6915300,0.8820044
0.926,0.0000735,9.7107550,0.8834554
0.927,0.0000707,9.7299990,0.8849064
0.928,0.0000679,9.7492610,0.8863623
0.929,0.0000655,9.7685430,0.8878260
0.930,0.0000630,9.7878440,0.8892902
0.931,0.0000605,9.8071640,0.8907545
0.932,0.0000581,9.8265030,0.8922211
0.933,0.0000559,9.8458620,0.8936957
0.934,0.0000538,9.8652390,0.8951731
0.935,0.0000517,9.8846350,0.8966505
0.936,0.0000496,9.9040500,0.8981285
0.937,0.0000477,9.9234840,0.8996153
0.938,0.0000459,9.9429380,0.9011072
0.939,0.0000441,9.9624100,0.9025991
0.940,0.0000423,9.9819020,0.9040910
0.941,0.0000406,10.0014100,0.9055889
0.942,0.0000391,10.0209400,0.9070943
0.943,0.0000376,10.0404900,0.9085998
0.944,0.0000360,10.0600600,0.9101052
0.945,0.0000346,10.0796400,0.9116145
0.946,0.0000332,10.0992500,0.9131321
0.947,0.0000319,10.1188800,0.9146507
0.948,0.0000306,10.1385200,0.9161693
0.949,0.0000293,10.1581800,0.9176910
0.950,0.0000282,10.1778600,0.9192218
0.951,0.0000271,10.1975600,0.9207550
0.952,0.0000260,10.2172800,0.9222882
0.953,0.0000249,10.2370200,0.9238234
0.954,0.0000239,10.2567800,0.9253673
0.955,0.0000229,10.2765600,0.9269143
0.956,0.0000220,10.2963600,0.9284612
0.957,0.0000211,10.3161700,0.9300094
0.958,0.0000202,10.3360100,0.9315666
0.959,0.0000194,10.3558600,0.9331278
0.960,0.0000186,10.3757300,0.9346890
0.961,0.0000178,10.3956200,0.9362507
0.962,0.0000171,10.4155300,0.9378194
0.963,0.0000164,10.4354600,0.9393917
0.964,0.0000157,10.4554100,0.9409640
0.965,0.0000150,10.4753800,0.9425368
0.966,0.0000144,10.4953700,0.9441202
0.967,0.0000138,10.5153700,0.9457081
0.968,0.0000132,10.5354000,0.9472959
0.969,0.0000126,10.5554400,0.9488843
0.970,0.0000121,10.5755000,0.9504810
0.971,0.0000116,10.5955900,0.9520822
0.972,0.0000111,10.6156900,0.9536834
0.973,0.0000106,10.6358100,0.9552854
